scenario,run,action_time,action_kind,action_source,action_target,detected,event_time,event_kind,delta_s
S1_tcp_sweep,5,2026-05-03T09:21:39.000Z,connection,10.10.42.200,10.10.42.22,True,2026-05-03T09:21:39.419Z,connection,0.419
S1_tcp_sweep,5,2026-05-03T09:21:40.500Z,connection,10.10.42.200,10.10.42.22,True,2026-05-03T09:21:41.906Z,connection,1.407
S1_tcp_sweep,5,2026-05-03T09:21:42.000Z,connection,10.10.42.200,10.10.42.9,True,2026-05-03T09:21:42.440Z,connection,0.441
S1_tcp_sweep,5,2026-05-03T09:21:43.500Z,connection,10.10.42.200,10.10.42.20,True,2026-05-03T09:21:44.612Z,connection,1.112
S1_tcp_sweep,6,2026-05-03T09:21:45.000Z,connection,10.10.42.200,10.10.42.7,True,2026-05-03T09:21:45.099Z,connection,0.100
S1_tcp_sweep,6,2026-05-03T09:21:46.500Z,connection,10.10.42.200,10.10.42.17,True,2026-05-03T09:21:47.184Z,connection,0.684
S1_tcp_sweep,6,2026-05-03T09:21:48.000Z,connection,10.10.42.200,10.10.42.18,True,2026-05-03T09:21:48.212Z,connection,0.212
S1_tcp_sweep,6,2026-05-03T09:21:49.500Z,connection,10.10.42.200,10.10.42.22,True,2026-05-03T09:21:49.867Z,connection,0.367
S1_tcp_sweep,6,2026-05-03T09:21:51.000Z,connection,10.10.42.200,10.10.42.8,False,,,
S1_tcp_sweep,6,2026-05-03T09:21:52.500Z,connection,10.10.42.200,10.10.42.22,True,2026-05-03T09:21:53.119Z,connection,0.620
S1_tcp_sweep,7,2026-05-03T09:21:54.000Z,connection,10.10.42.200,10.10.42.15,True,2026-05-03T09:21:54.232Z,connection,0.233
S1_tcp_sweep,7,2026-05-03T09:21:55.500Z,connection,10.10.42.200,10.10.42.21,True,2026-05-03T09:21:55.885Z,connection,0.385
S1_tcp_sweep,7,2026-05-03T09:21:57.000Z,connection,10.10.42.200,10.10.42.21,True,2026-05-03T09:21:57.789Z,connection,0.790
S1_tcp_sweep,7,2026-05-03T09:21:58.500Z,connection,10.10.42.200,10.10.42.9,True,2026-05-03T09:21:59.545Z,connection,1.045
S1_tcp_sweep,7,2026-05-03T09:22:00.000Z,connection,10.10.42.200,10.10.42.9,True,2026-05-03T09:22:00.744Z,connection,0.744
S1_tcp_sweep,7,2026-05-03T09:22:01.500Z,connection,10.10.42.200,10.10.42.21,True,2026-05-03T09:22:02.136Z,connection,0.637
S1_tcp_sweep,8,2026-05-03T09:22:03.000Z,connection,10.10.42.200,10.10.42.13,True,2026-05-03T09:22:03.543Z,connection,0.544
S1_tcp_sweep,8,2026-05-03T09:22:04.500Z,connection,10.10.42.200,10.10.42.17,True,2026-05-03T09:22:04.840Z,connection,0.340
S1_tcp_sweep,8,2026-05-03T09:22:06.000Z,connection,10.10.42.200,10.10.42.14,True,2026-05-03T09:22:07.360Z,connection,1.361
S1_tcp_sweep,8,2026-05-03T09:22:07.500Z,connection,10.10.42.200,10.10.42.1,True,2026-05-03T09:22:07.736Z,connection,0.236
S1_tcp_sweep,8,2026-05-03T09:22:09.000Z,connection,10.10.42.200,10.10.42.5,True,2026-05-03T09:22:09.664Z,connection,0.665
S1_tcp_sweep,8,2026-05-03T09:22:10.500Z,connection,10.10.42.200,10.10.42.16,True,2026-05-03T09:22:11.375Z,connection,0.875
S1_tcp_sweep,9,2026-05-03T09:22:12.000Z,connection,10.10.42.200,10.10.42.9,True,2026-05-03T09:22:12.973Z,connection,0.974
S1_tcp_sweep,9,2026-05-03T09:22:13.500Z,connection,10.10.42.200,10.10.42.14,True,2026-05-03T09:22:14.670Z,connection,1.171
S1_tcp_sweep,9,2026-05-03T09:22:15.000Z,connection,10.10.42.200,10.10.42.21,True,2026-05-03T09:22:15.724Z,connection,0.724
S1_tcp_sweep,9,2026-05-03T09:22:16.500Z,connection,10.10.42.200,10.10.42.5,True,2026-05-03T09:22:16.822Z,connection,0.323
S1_tcp_sweep,9,2026-05-03T09:22:18.000Z,connection,10.10.42.200,10.10.42.6,True,2026-05-03T09:22:19.056Z,connection,1.056
S1_tcp_sweep,9,2026-05-03T09:22:19.500Z,connection,10.10.42.200,10.10.42.6,True,2026-05-03T09:22:19.721Z,connection,0.221
S1_tcp_sweep,10,2026-05-03T09:22:21.000Z,connection,10.10.42.200,10.10.42.8,True,2026-05-03T09:22:21.746Z,connection,0.747
S1_tcp_sweep,10,2026-05-03T09:22:22.500Z,connection,10.10.42.200,10.10.42.13,True,2026-05-03T09:22:23.589Z,connection,1.089
S1_tcp_sweep,10,2026-05-03T09:22:24.000Z,connection,10.10.42.200,10.10.42.13,True,2026-05-03T09:22:24.689Z,connection,0.690
S1_tcp_sweep,10,2026-05-03T09:22:25.500Z,connection,10.10.42.200,10.10.42.18,True,2026-05-03T09:22:25.969Z,connection,0.470
S1_tcp_sweep,10,2026-05-03T09:22:27.000Z,connection,10.10.42.200,10.10.42.3,True,2026-05-03T09:22:27.667Z,connection,0.668
S1_tcp_sweep,10,2026-05-03T09:22:28.500Z,connection,10.10.42.200,10.10.42.13,True,2026-05-03T09:22:28.599Z,connection,0.100
S2_ssh_credstuff,1,2026-05-03T09:23:30.000Z,auth,10.10.42.200,10.10.42.19,True,2026-05-03T09:23:31.729Z,auth,1.730
S2_ssh_credstuff,1,2026-05-03T09:23:31.500Z,auth,10.10.42.200,10.10.42.4,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:33.000Z,auth,10.10.42.200,10.10.42.6,True,2026-05-03T09:23:34.834Z,auth,1.834
S2_ssh_credstuff,1,2026-05-03T09:23:34.500Z,auth,10.10.42.200,10.10.42.16,True,2026-05-03T09:23:36.474Z,auth,1.975
S2_ssh_credstuff,1,2026-05-03T09:23:36.000Z,auth,10.10.42.200,10.10.42.14,True,2026-05-03T09:23:38.034Z,auth,2.034
S2_ssh_credstuff,1,2026-05-03T09:23:37.500Z,auth,10.10.42.200,10.10.42.3,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:39.000Z,auth,10.10.42.200,10.10.42.8,True,2026-05-03T09:23:40.539Z,auth,1.539
S2_ssh_credstuff,1,2026-05-03T09:23:40.500Z,auth,10.10.42.200,10.10.42.22,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:42.000Z,auth,10.10.42.200,10.10.42.18,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:43.500Z,auth,10.10.42.200,10.10.42.6,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:45.000Z,auth,10.10.42.200,10.10.42.9,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:46.500Z,auth,10.10.42.200,10.10.42.7,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:48.000Z,auth,10.10.42.200,10.10.42.1,True,2026-05-03T09:23:49.346Z,auth,1.346
S2_ssh_credstuff,1,2026-05-03T09:23:49.500Z,auth,10.10.42.200,10.10.42.15,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:51.000Z,auth,10.10.42.200,10.10.42.18,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:52.500Z,auth,10.10.42.200,10.10.42.9,True,2026-05-03T09:23:54.362Z,auth,1.862
S2_ssh_credstuff,1,2026-05-03T09:23:54.000Z,auth,10.10.42.200,10.10.42.3,False,,,
S2_ssh_credstuff,1,2026-05-03T09:23:55.500Z,auth,10.10.42.200,10.10.42.9,True,2026-05-03T09:23:57.039Z,auth,1.539
S2_ssh_credstuff,1,2026-05-03T09:23:57.000Z,auth,10.10.42.200,10.10.42.19,True,2026-05-03T09:23:59.286Z,auth,2.286
S2_ssh_credstuff,1,2026-05-03T09:23:58.500Z,auth,10.10.42.200,10.10.42.9,True,2026-05-03T09:23:59.275Z,auth,0.776
S2_ssh_credstuff,1,2026-05-03T09:24:00.000Z,auth,10.10.42.200,10.10.42.8,True,2026-05-03T09:24:01.762Z,auth,1.762
S2_ssh_credstuff,1,2026-05-03T09:24:01.500Z,auth,10.10.42.200,10.10.42.13,True,2026-05-03T09:24:03.509Z,auth,2.009
S2_ssh_credstuff,1,2026-05-03T09:24:03.000Z,auth,10.10.42.200,10.10.42.21,True,2026-05-03T09:24:05.489Z,auth,2.489
S2_ssh_credstuff,1,2026-05-03T09:24:04.500Z,auth,10.10.42.200,10.10.42.1,True,2026-05-03T09:24:06.217Z,auth,1.718
S2_ssh_credstuff,1,2026-05-03T09:24:06.000Z,auth,10.10.42.200,10.10.42.13,True,2026-05-03T09:24:08.227Z,auth,2.228
S2_ssh_credstuff,1,2026-05-03T09:24:07.500Z,auth,10.10.42.200,10.10.42.5,True,2026-05-03T09:24:09.197Z,auth,1.697
S2_ssh_credstuff,1,2026-05-03T09:24:09.000Z,auth,10.10.42.200,10.10.42.16,False,,,
S2_ssh_credstuff,1,2026-05-03T09:24:10.500Z,auth,10.10.42.200,10.10.42.15,True,2026-05-03T09:24:12.576Z,auth,2.076
S2_ssh_credstuff,1,2026-05-03T09:24:12.000Z,auth,10.10.42.200,10.10.42.8,True,2026-05-03T09:24:13.772Z,auth,1.773
S2_ssh_credstuff,1,2026-05-03T09:24:13.500Z,auth,10.10.42.200,10.10.42.18,True,2026-05-03T09:24:15.921Z,auth,2.422
S2_ssh_credstuff,1,2026-05-03T09:24:15.000Z,auth,10.10.42.200,10.10.42.8,True,2026-05-03T09:24:16.486Z,auth,1.486
S2_ssh_credstuff,1,2026-05-03T09:24:16.500Z,auth,10.10.42.200,10.10.42.4,False,,,
S2_ssh_credstuff,1,2026-05-03T09:24:18.000Z,auth,10.10.42.200,10.10.42.15,True,2026-05-03T09:24:19.650Z,auth,1.650
S2_ssh_credstuff,1,2026-05-03T09:24:19.500Z,auth,10.10.42.200,10.10.42.14,True,2026-05-03T09:24:21.052Z,auth,1.553
S2_ssh_credstuff,1,2026-05-03T09:24:21.000Z,auth,10.10.42.200,10.10.42.18,True,2026-05-03T09:24:22.568Z,auth,1.568
S2_ssh_credstuff,1,2026-05-03T09:24:22.500Z,auth,10.10.42.200,10.10.42.8,True,2026-05-03T09:24:23.626Z,auth,1.127
S2_ssh_credstuff,1,2026-05-03T09:24:24.000Z,auth,10.10.42.200,10.10.42.17,True,2026-05-03T09:24:26.434Z,auth,2.434
S2_ssh_credstuff,1,2026-05-03T09:24:25.500Z,auth,10.10.42.200,10.10.42.14,True,2026-05-03T09:24:26.856Z,auth,1.356
S2_ssh_credstuff,1,2026-05-03T09:24:27.000Z,auth,10.10.42.200,10.10.42.1,True,2026-05-03T09:24:29.043Z,auth,2.043
S2_ssh_credstuff,1,2026-05-03T09:24:28.500Z,auth,10.10.42.200,10.10.42.15,True,2026-05-03T09:24:31.252Z,auth,2.752
S2_ssh_credstuff,1,2026-05-03T09:24:30.000Z,auth,10.10.42.200,10.10.42.19,True,2026-05-03T09:24:30.807Z,auth,0.807
S2_ssh_credstuff,1,2026-05-03T09:24:31.500Z,auth,10.10.42.200,10.10.42.7,True,2026-05-03T09:24:33.230Z,auth,1.730
S2_ssh_credstuff,1,2026-05-03T09:24:33.000Z,auth,10.10.42.200,10.10.42.14,True,2026-05-03T09:24:34.460Z,auth,1.460
S2_ssh_credstuff,1,2026-05-03T09:24:34.500Z,auth,10.10.42.200,10.10.42.9,True,2026-05-03T09:24:35.924Z,auth,1.425
S2_ssh_credstuff,1,2026-05-03T09:24:36.000Z,auth,10.10.42.200,10.10.42.9,False,,,
S2_ssh_credstuff,1,2026-05-03T09:24:37.500Z,auth,10.10.42.200,10.10.42.6,True,2026-05-03T09:24:39.320Z,auth,1.821
S2_ssh_credstuff,1,2026-05-03T09:24:39.000Z,auth,10.10.42.200,10.10.42.4,True,2026-05-03T09:24:41.435Z,auth,2.436
S2_ssh_credstuff,1,2026-05-03T09:24:40.500Z,auth,10.10.42.200,10.10.42.8,False,,,
S2_ssh_credstuff,1,2026-05-03T09:24:42.000Z,auth,10.10.42.200,10.10.42.17,True,2026-05-03T09:24:43.830Z,auth,1.831
S2_ssh_credstuff,1,2026-05-03T09:24:43.500Z,auth,10.10.42.200,10.10.42.1,False,,,
S2_ssh_credstuff,2,2026-05-03T09:24:45.000Z,auth,10.10.42.200,10.10.42.5,False,,,
S2_ssh_credstuff,2,2026-05-03T09:24:46.500Z,auth,10.10.42.200,10.10.42.9,True,2026-05-03T09:24:49.117Z,auth,2.618
S2_ssh_credstuff,2,2026-05-03T09:24:48.000Z,auth,10.10.42.200,10.10.42.21,True,2026-05-03T09:24:48.629Z,auth,0.630
S2_ssh_credstuff,2,2026-05-03T09:24:49.500Z,auth,10.10.42.200,10.10.42.5,True,2026-05-03T09:24:50.858Z,auth,1.359
S2_ssh_credstuff,2,2026-05-03T09:24:51.000Z,auth,10.10.42.200,10.10.42.19,True,2026-05-03T09:24:53.551Z,auth,2.551
S2_ssh_credstuff,2,2026-05-03T09:24:52.500Z,auth,10.10.42.200,10.10.42.19,True,2026-05-03T09:24:54.242Z,auth,1.743
S2_ssh_credstuff,2,2026-05-03T09:24:54.000Z,auth,10.10.42.200,10.10.42.21,True,2026-05-03T09:24:56.307Z,auth,2.307
S2_ssh_credstuff,2,2026-05-03T09:24:55.500Z,auth,10.10.42.200,10.10.42.7,False,,,
S2_ssh_credstuff,2,2026-05-03T09:24:57.000Z,auth,10.10.42.200,10.10.42.20,True,2026-05-03T09:24:58.463Z,auth,1.464
S2_ssh_credstuff,2,2026-05-03T09:24:58.500Z,auth,10.10.42.200,10.10.42.9,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:00.000Z,auth,10.10.42.200,10.10.42.13,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:01.500Z,auth,10.10.42.200,10.10.42.21,True,2026-05-03T09:25:03.340Z,auth,1.841
S2_ssh_credstuff,2,2026-05-03T09:25:03.000Z,auth,10.10.42.200,10.10.42.14,True,2026-05-03T09:25:05.401Z,auth,2.402
S2_ssh_credstuff,2,2026-05-03T09:25:04.500Z,auth,10.10.42.200,10.10.42.15,True,2026-05-03T09:25:06.004Z,auth,1.504
S2_ssh_credstuff,2,2026-05-03T09:25:06.000Z,auth,10.10.42.200,10.10.42.9,True,2026-05-03T09:25:07.723Z,auth,1.724
S2_ssh_credstuff,2,2026-05-03T09:25:07.500Z,auth,10.10.42.200,10.10.42.6,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:09.000Z,auth,10.10.42.200,10.10.42.4,True,2026-05-03T09:25:10.494Z,auth,1.495
S2_ssh_credstuff,2,2026-05-03T09:25:10.500Z,auth,10.10.42.200,10.10.42.3,True,2026-05-03T09:25:12.847Z,auth,2.348
S2_ssh_credstuff,2,2026-05-03T09:25:12.000Z,auth,10.10.42.200,10.10.42.18,True,2026-05-03T09:25:13.967Z,auth,1.968
S2_ssh_credstuff,2,2026-05-03T09:25:13.500Z,auth,10.10.42.200,10.10.42.1,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:15.000Z,auth,10.10.42.200,10.10.42.17,True,2026-05-03T09:25:15.457Z,auth,0.457
S2_ssh_credstuff,2,2026-05-03T09:25:16.500Z,auth,10.10.42.200,10.10.42.16,True,2026-05-03T09:25:17.390Z,auth,0.890
S2_ssh_credstuff,2,2026-05-03T09:25:18.000Z,auth,10.10.42.200,10.10.42.18,True,2026-05-03T09:25:20.552Z,auth,2.553
S2_ssh_credstuff,2,2026-05-03T09:25:19.500Z,auth,10.10.42.200,10.10.42.22,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:21.000Z,auth,10.10.42.200,10.10.42.9,True,2026-05-03T09:25:22.707Z,auth,1.707
S2_ssh_credstuff,2,2026-05-03T09:25:22.500Z,auth,10.10.42.200,10.10.42.17,True,2026-05-03T09:25:24.939Z,auth,2.439
S2_ssh_credstuff,2,2026-05-03T09:25:24.000Z,auth,10.10.42.200,10.10.42.17,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:25.500Z,auth,10.10.42.200,10.10.42.19,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:27.000Z,auth,10.10.42.200,10.10.42.22,True,2026-05-03T09:25:28.232Z,auth,1.232
S2_ssh_credstuff,2,2026-05-03T09:25:28.500Z,auth,10.10.42.200,10.10.42.1,True,2026-05-03T09:25:30.745Z,auth,2.246
S2_ssh_credstuff,2,2026-05-03T09:25:30.000Z,auth,10.10.42.200,10.10.42.18,True,2026-05-03T09:25:31.625Z,auth,1.625
S2_ssh_credstuff,2,2026-05-03T09:25:31.500Z,auth,10.10.42.200,10.10.42.17,True,2026-05-03T09:25:33.342Z,auth,1.843
S2_ssh_credstuff,2,2026-05-03T09:25:33.000Z,auth,10.10.42.200,10.10.42.19,True,2026-05-03T09:25:34.838Z,auth,1.839
S2_ssh_credstuff,2,2026-05-03T09:25:34.500Z,auth,10.10.42.200,10.10.42.18,True,2026-05-03T09:25:35.754Z,auth,1.255
S2_ssh_credstuff,2,2026-05-03T09:25:36.000Z,auth,10.10.42.200,10.10.42.4,True,2026-05-03T09:25:37.798Z,auth,1.799
S2_ssh_credstuff,2,2026-05-03T09:25:37.500Z,auth,10.10.42.200,10.10.42.16,True,2026-05-03T09:25:39.116Z,auth,1.617
S2_ssh_credstuff,2,2026-05-03T09:25:39.000Z,auth,10.10.42.200,10.10.42.4,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:40.500Z,auth,10.10.42.200,10.10.42.3,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:42.000Z,auth,10.10.42.200,10.10.42.9,True,2026-05-03T09:25:44.119Z,auth,2.119
S2_ssh_credstuff,2,2026-05-03T09:25:43.500Z,auth,10.10.42.200,10.10.42.6,True,2026-05-03T09:25:45.341Z,auth,1.841
S2_ssh_credstuff,2,2026-05-03T09:25:45.000Z,auth,10.10.42.200,10.10.42.5,True,2026-05-03T09:25:46.973Z,auth,1.974
S2_ssh_credstuff,2,2026-05-03T09:25:46.500Z,auth,10.10.42.200,10.10.42.16,True,2026-05-03T09:25:49.150Z,auth,2.651
S2_ssh_credstuff,2,2026-05-03T09:25:48.000Z,auth,10.10.42.200,10.10.42.5,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:49.500Z,auth,10.10.42.200,10.10.42.7,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:51.000Z,auth,10.10.42.200,10.10.42.5,True,2026-05-03T09:25:53.461Z,auth,2.461
S2_ssh_credstuff,2,2026-05-03T09:25:52.500Z,auth,10.10.42.200,10.10.42.17,True,2026-05-03T09:25:53.983Z,auth,1.483
S2_ssh_credstuff,2,2026-05-03T09:25:54.000Z,auth,10.10.42.200,10.10.42.8,True,2026-05-03T09:25:55.513Z,auth,1.513
S2_ssh_credstuff,2,2026-05-03T09:25:55.500Z,auth,10.10.42.200,10.10.42.5,True,2026-05-03T09:25:56.567Z,auth,1.067
S2_ssh_credstuff,2,2026-05-03T09:25:57.000Z,auth,10.10.42.200,10.10.42.14,False,,,
S2_ssh_credstuff,2,2026-05-03T09:25:58.500Z,auth,10.10.42.200,10.10.42.5,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:00.000Z,auth,10.10.42.200,10.10.42.3,True,2026-05-03T09:26:01.314Z,auth,1.315
S2_ssh_credstuff,3,2026-05-03T09:26:01.500Z,auth,10.10.42.200,10.10.42.21,True,2026-05-03T09:26:03.534Z,auth,2.034
S2_ssh_credstuff,3,2026-05-03T09:26:03.000Z,auth,10.10.42.200,10.10.42.1,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:04.500Z,auth,10.10.42.200,10.10.42.20,True,2026-05-03T09:26:07.071Z,auth,2.572
S2_ssh_credstuff,3,2026-05-03T09:26:06.000Z,auth,10.10.42.200,10.10.42.19,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:07.500Z,auth,10.10.42.200,10.10.42.18,True,2026-05-03T09:26:09.105Z,auth,1.606
S2_ssh_credstuff,3,2026-05-03T09:26:09.000Z,auth,10.10.42.200,10.10.42.21,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:10.500Z,auth,10.10.42.200,10.10.42.13,True,2026-05-03T09:26:13.146Z,auth,2.646
S2_ssh_credstuff,3,2026-05-03T09:26:12.000Z,auth,10.10.42.200,10.10.42.19,True,2026-05-03T09:26:13.332Z,auth,1.332
S2_ssh_credstuff,3,2026-05-03T09:26:13.500Z,auth,10.10.42.200,10.10.42.13,True,2026-05-03T09:26:15.337Z,auth,1.837
S2_ssh_credstuff,3,2026-05-03T09:26:15.000Z,auth,10.10.42.200,10.10.42.13,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:16.500Z,auth,10.10.42.200,10.10.42.9,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:18.000Z,auth,10.10.42.200,10.10.42.17,True,2026-05-03T09:26:21.107Z,auth,3.107
S2_ssh_credstuff,3,2026-05-03T09:26:19.500Z,auth,10.10.42.200,10.10.42.20,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:21.000Z,auth,10.10.42.200,10.10.42.7,True,2026-05-03T09:26:22.535Z,auth,1.535
S2_ssh_credstuff,3,2026-05-03T09:26:22.500Z,auth,10.10.42.200,10.10.42.13,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:24.000Z,auth,10.10.42.200,10.10.42.13,True,2026-05-03T09:26:26.142Z,auth,2.142
S2_ssh_credstuff,3,2026-05-03T09:26:25.500Z,auth,10.10.42.200,10.10.42.21,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:27.000Z,auth,10.10.42.200,10.10.42.4,True,2026-05-03T09:26:28.206Z,auth,1.207
S2_ssh_credstuff,3,2026-05-03T09:26:28.500Z,auth,10.10.42.200,10.10.42.9,True,2026-05-03T09:26:30.695Z,auth,2.195
S2_ssh_credstuff,3,2026-05-03T09:26:30.000Z,auth,10.10.42.200,10.10.42.20,True,2026-05-03T09:26:32.264Z,auth,2.265
S2_ssh_credstuff,3,2026-05-03T09:26:31.500Z,auth,10.10.42.200,10.10.42.17,True,2026-05-03T09:26:33.350Z,auth,1.851
S2_ssh_credstuff,3,2026-05-03T09:26:33.000Z,auth,10.10.42.200,10.10.42.14,True,2026-05-03T09:26:34.316Z,auth,1.316
S2_ssh_credstuff,3,2026-05-03T09:26:34.500Z,auth,10.10.42.200,10.10.42.16,True,2026-05-03T09:26:36.821Z,auth,2.321
S2_ssh_credstuff,3,2026-05-03T09:26:36.000Z,auth,10.10.42.200,10.10.42.22,True,2026-05-03T09:26:37.670Z,auth,1.670
S2_ssh_credstuff,3,2026-05-03T09:26:37.500Z,auth,10.10.42.200,10.10.42.13,True,2026-05-03T09:26:38.874Z,auth,1.374
S2_ssh_credstuff,3,2026-05-03T09:26:39.000Z,auth,10.10.42.200,10.10.42.8,True,2026-05-03T09:26:40.738Z,auth,1.739
S2_ssh_credstuff,3,2026-05-03T09:26:40.500Z,auth,10.10.42.200,10.10.42.7,True,2026-05-03T09:26:40.926Z,auth,0.427
S2_ssh_credstuff,3,2026-05-03T09:26:42.000Z,auth,10.10.42.200,10.10.42.20,True,2026-05-03T09:26:42.999Z,auth,1.000
S2_ssh_credstuff,3,2026-05-03T09:26:43.500Z,auth,10.10.42.200,10.10.42.14,False,,,
S2_ssh_credstuff,3,2026-05-03T09:26:45.000Z,auth,10.10.42.200,10.10.42.8,True,2026-05-03T09:26:46.294Z,auth,1.295
S2_ssh_credstuff,3,2026-05-03T09:26:46.500Z,auth,10.10.42.200,10.10.42.16,True,2026-05-03T09:26:48.989Z,auth,2.489
S2_ssh_credstuff,3,2026-05-03T09:26:48.000Z,auth,10.10.42.200,10.10.42.13,True,2026-05-03T09:26:49.861Z,auth,1.861
S2_ssh_credstuff,3,2026-05-03T09:26:49.500Z,auth,10.10.42.200,10.10.42.3,True,2026-05-03T09:26:51.205Z,auth,1.706
S2_ssh_credstuff,3,2026-05-03T09:26:51.000Z,auth,10.10.42.200,10.10.42.20,True,2026-05-03T09:26:52.524Z,auth,1.525
